Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Occitanie,Aude,11300 Limoux,1.869,,0.974,1.039,1.819,1.928,"43.073, 2.223"
Grand Est,Vosges,88700 Rambervillers,1.99,,,,1.981,1.99,"48.346, 6.639"
Bourgogne-Franche-Comté,Saône-et-Loire,71620 Damerey,1.99,1.99,,,,,"46.838, 4.996"
Nouvelle-Aquitaine,Deux-Sèvres,79180 Chauray,1.742,1.925,,,,1.943,"46.353, -0.386"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64170 Lacq,2.169,,,,2.129,2.249,"43.418747, -0.584483"
Occitanie,Hérault,34300 Agde,1.99,,,,1.958,1.99,"43.302, 3.472"
Auvergne-Rhône-Alpes,Allier,3800 Gannat,1.99,,0.994,,1.99,1.99,"46.099630026599996, 3.2117461921799997"
Auvergne-Rhône-Alpes,Drôme,26240 Saint-Vallier,1.99,,,,2.02,2.05,"45.192, 4.814"
Auvergne-Rhône-Alpes,Ain,1460 Port,1.949,,0.999,,1.895,1.959,"46.166, 5.571"
Occitanie,Haute-Garonne,31250 Revel,1.959,,0.999,,1.94,1.99,"43.454, 1.994"
Provence-Alpes-Côte d'Azur,Hautes-Alpes,5130 Tallard,,,,,,,"44.45828, 6.05"
Occitanie,Aveyron,12260 Villeneuve,1.99,2.065,,,,2.1,"44.432, 2.031"
Auvergne-Rhône-Alpes,Ain,1430 Ceignes,2.149,,,1.099,2.109,2.229,"46.118095624940004, 5.491106279529101"
Occitanie,Tarn-et-Garonne,82000 Montauban,1.908,,0.994,0.909,1.847,1.947,"44.004, 1.341"
Bretagne,Ille-et-Vilaine,35170 Bruz,1.899,,,,1.877,1.959,"48.029, -1.728"
Occitanie,Haute-Garonne,31170 Tournefeuille,2.137,,1.219,,2.042,2.118,"43.586, 1.347"
Nouvelle-Aquitaine,Gironde,33720 Saint-Michel-de-Rieufret,1.99,,1.249,1.054,1.99,1.99,"44.645, -0.436"
Centre-Val de Loire,Loir-et-Cher,41600 Lamotte-Beuvron,1.979,,0.998,,1.949,1.989,"47.585, 2.026"
Auvergne-Rhône-Alpes,Drôme,26300 Alixan,1.914,,1.159,,1.876,1.956,"44.999, 5.001"
Auvergne-Rhône-Alpes,Drôme,26790 Tulette,,,,,,,"44.288137631400005, 4.942535755450001"
Normandie,Eure,27460 Igoville,1.909,,,,1.889,1.969,"49.32, 1.156"
Corse,Haute-Corse,20218 Morosaglia,1.969,1.979,,,,,"42.463, 9.205"
Occitanie,Haute-Garonne,31500 Toulouse,1.919,,,,1.918,1.998,"43.619, 1.468"
Nouvelle-Aquitaine,Gironde,33520 Bruges,1.959,,,0.963,1.939,2.029,"44.888, -0.581"
Bretagne,Morbihan,56000 Vannes,1.885,,0.972,0.915,1.829,1.931,"47.666, -2.794"
Occitanie,Hérault,34110 Frontignan,1.963,1.887,,,,1.939,"43.434, 3.738"
Occitanie,Hérault,34330 La Salvetat-sur-Agout,1.99,1.99,,,,1.99,"43.59984, 2.69757"
Bretagne,Ille-et-Vilaine,35850 Romillé,,,,,,,"48.2202, -1.89407"
Bourgogne-Franche-Comté,Saône-et-Loire,71160 Digoin,1.883,1.91,,,1.828,1.961,"46.488, 3.993"
Occitanie,Haute-Garonne,31440 Cierp-Gaud,1.978,,0.999,,1.875,2.048,"42.914, 0.649"
Occitanie,Lozère,48300 Langogne,1.939,,,,1.887,1.977,"44.72842, 3.85645"
Bretagne,Finistère,29910 Trégunc,1.989,,,,1.949,2.049,"47.856059861424, -3.8571234764380002"
Grand Est,Meurthe-et-Moselle,54520 Laxou,,,,,,,"48.679475141000005, 6.1197174924899995"
Grand Est,Moselle,57740 Saint-Avold,1.942,,1.039,0.999,1.938,,"49.111, 6.698"
Grand Est,Moselle,57200 Sarreguemines,1.929,,,,1.919,1.999,"49.114, 7.074"
Occitanie,Tarn-et-Garonne,82400 Valence,1.969,,,,1.919,2.009,"44.109, 0.888"
Grand Est,Moselle,57600 Forbach,1.944,,1.007,0.939,1.898,1.99,"49.19, 6.908"
Hauts-de-France,Nord,59650 Villeneuve-d'Ascq,,,,,,,"50.66322, 3.13884"
Hauts-de-France,Pas-de-Calais,62500 Saint-Omer,1.919,,1.104,,1.867,1.947,"50.744, 2.26"
Grand Est,Bas-Rhin,67500 Haguenau,1.99,,0.999,,1.952,1.99,"48.809, 7.778"
Auvergne-Rhône-Alpes,Savoie,73200 Albertville,1.932,,0.994,,1.882,1.982,"45.67265, 6.39194"
Normandie,Seine-Maritime,76150 Saint-Jean-du-Cardonnay,2.054,,,,2.029,2.119,"49.495, 0.998"
Normandie,Seine-Maritime,76130 Mont-Saint-Aignan,1.919,,,,1.896,1.976,"49.461, 1.082"
Normandie,Seine-Maritime,76530 Grand-Couronne,1.915,,0.994,,1.881,1.961,"49.354, 1.03"
Île-de-France,Seine-et-Marne,77100 Meaux,1.966,,,,1.893,1.973,"48.957, 2.885"
Île-de-France,Seine-et-Marne,77700 Coupvray,2.069,,,0.979,2.074,2.164,"48.872, 2.798"
Hauts-de-France,Somme,80200 Péronne,,,,,,,"49.94186, 2.94077"
Centre-Val de Loire,Loiret,45130 Meung-sur-Loire,1.99,,,,1.99,1.99,"47.83014, 1.70166"
Nouvelle-Aquitaine,Haute-Vienne,87000 Limoges,,,,,,,"45.81282, 1.27259"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13013 Marseille,1.913,1.978,1.017,,1.897,1.994,"43.32321, 5.44699"
